"Referência principal";Referência;"Código de barras";Peso;"Preço principal";"Preço promocional";"Começa em";"Termina em";Stock;Variação{{>}}opção;Imagem;Imagem
JTALRAPRP;;;0.000;219;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALRAPR;;;0.000;84;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALRAPR;;;0.000;99;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALRAPR;;;0.000;120;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALRAPR;;;0.000;160;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALRAPR;;;0.000;193;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALRAPR;;;0.000;97;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALRAPR;;;0.000;118;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALRACP;;;0.000;78;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALRACP;;;0.000;93;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALRACP;;;0.000;113;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALRACP;;;0.000;92;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALRACP;;;0.000;111;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALMONSTRCP;;;0.000;101;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALMONSTRCP;;;0.000;120;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALMONSTRCP;;;0.000;131;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALMONSTRCP;;;0.000;160;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALMONSTRC;;;0.000;95;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALMONSTRC;;;0.000;115;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALMONSTRC;;;0.000;125;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALMONSTRC;;;0.000;151;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALPOPR;;;0.000;77;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALPOPR;;;0.000;85;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALPOPR;;;0.000;86;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALPOPR;;;0.000;98;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALPOPR;;;0.000;155;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALPOPR;;;0.000;179;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALPOPD;;;0.000;87;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALPOPD;;;0.000;96;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALPOPD;;;0.000;96;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALPOPD;;;0.000;110;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALPOPD;;;0.000;132;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALPOCP;;;0.000;72;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALPOCP;;;0.000;79;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALPOCP;;;0.000;80;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALPOCP;;;0.000;92;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALPOCP;;;0.000;147;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALPOCP;;;0.000;172;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALSHPR;;;0.000;103;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALSHPR;;;0.000;119;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALSHPR;;;0.000;119;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALSHPR;;;0.000;134;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALSHPR;;;0.000;134;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALSHPR;;;0.000;165;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALGRIPG3;;;0.000;67;0;0000-00-00;0000-00-00;0.000;"Tamanho / Furação{{>}}6.0X15"" - 3 Furos";;
JTALGRIPG3;;;0.000;71;0;0000-00-00;0000-00-00;0.000;"Tamanho / Furação{{>}}5.0X15"" - 3 Furos";;
JTALGRIPGR;;;0.000;73;0;0000-00-00;0000-00-00;0.000;{{>}};;
